code,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
5000129341041,0.0581395348837209,High,Low Sugar,No
6111031005033,0.734375,High,High Sugar,Yes
3175681209282,0.136923076923077,High,Moderate Sugar,Yes
5000119117359,0.0647058823529412,High,Low Sugar,No
5070000126579,0.191235059760956,High,Moderate Sugar,Yes
5449000135544,-1.0,Low,Low Sugar,Yes
5060088700112,0.773006134969325,High,High Sugar,Yes
8719200269828,1.0,High,Low Sugar,Yes
3330720237361,0.982142857142857,High,High Sugar,Yes
8480000142139,0.295081967213115,High,High Sugar,Yes
5000184321064,0.928571428571429,High,Low Sugar,Yes
7622210476296,0.356164383561644,Low,Low Sugar,Yes
3251490307002,0.298507462686567,High,High Sugar,Yes
3178530410105,0.425925925925926,High,High Sugar,Yes
8436547770137,0.450980392156863,Low,Low Sugar,No
5000157062673,0.708333333333333,Low,Moderate Sugar,Yes
6111128000217,1.0,Low,Low Sugar,Yes
3176582033563,0.1,High,Low Sugar,No
3254380008430,0.271523178807947,High,Low Sugar,No
5060042641406,0.0490196078431373,High,Low Sugar,Yes
6111018903185,1.0,Low,Low Sugar,No
5000157143037,0.5,High,Low Sugar,No
3229820769165,0.147457627118644,High,Moderate Sugar,Yes
9111445000430,0.271523178807947,High,Low Sugar,No
6111162000822,1.0,High,High Sugar,Yes
7613036249928,0.271523178807947,High,Low Sugar,Yes
87157277,0.982758620689655,Moderate,High Sugar,No
5285000396437,0.0806451612903226,High,Low Sugar,Yes
8410376037784,0.0746268656716418,High,Low Sugar,Yes
8410109121551,0.0429447852760736,High,Low Sugar,Yes
80761761,0.828301886792453,High,High Sugar,Yes
6410500090014,0.0262295081967213,High,Low Sugar,No
7622210204424,0.450704225352113,High,High Sugar,Yes
5036589200970,1.0,Moderate,Low Sugar,No
10001295,0.261538461538462,High,High Sugar,Yes
8410076470812,0.046594982078853,Moderate,Low Sugar,Yes
5411188118121,-1.0,Low,Low Sugar,Yes
3033710065967,0.951837769328263,High,High Sugar,Yes
3161711001971,0.125,High,Low Sugar,No
3272770097642,1.0,High,Low Sugar,Yes
5053990155354,0.0482142857142857,High,Low Sugar,Yes
